Raw_filename1;Raw_filename2;Submission_filename1;Submission_filename2;Folder;SampleName;Sample;Genotype;Construct;Suffix;Name;Genotype_construct
NGS257-1G10_S21.R1.fastq.gz;NGS257-1G10_S21.R2.fastq.gz;RadA-3_TAL_6-2_S35.R1.fastq.gz;RadA-3_TAL_6-2_S35.R2.fastq.gz;NGS257;RadA-3_TAL_6-2_S35;NGS257-1G1_S34;RadA-3;TAL-1;S35;RadA-3_TAL-1_S35;RadA-3_TAL-1
NGS257-1G2_S35.R1.fastq.gz;NGS257-1G2_S35.R2.fastq.gz;RadA-3_TAL_6-2_S36.R1.fastq.gz;RadA-3_TAL_6-2_S36.R2.fastq.gz;NGS257;RadA-3_TAL_6-2_S36;NGS257-1G2_S35;RadA-3;TAL-1;S36;RadA-3_TAL-1_S36;RadA-3_TAL-1
NGS257-1G3_S36.R1.fastq.gz;NGS257-1G3_S36.R2.fastq.gz;RadA-3_TAL_6-2_S37.R1.fastq.gz;RadA-3_TAL_6-2_S37.R2.fastq.gz;NGS257;RadA-3_TAL_6-2_S37;NGS257-1G3_S36;RadA-3;TAL-1;S37;RadA-3_TAL-1_S37;RadA-3_TAL-1
NGS257-1G4_S37.R1.fastq.gz;NGS257-1G4_S37.R2.fastq.gz;RadA-3_TAL_6-2_S38.R1.fastq.gz;RadA-3_TAL_6-2_S38.R2.fastq.gz;NGS257;RadA-3_TAL_6-2_S38;NGS257-1G4_S37;RadA-3;TAL-1;S38;RadA-3_TAL-1_S38;RadA-3_TAL-1
radA-6-2-X5_S21.R1.fastq.gz;radA-6-2-X5_S21.R2.fastq.gz;RadA-3_TAL_6-2_S21.R1.fastq.gz;RadA-3_TAL_6-2_S21.R2.fastq.gz;NGS313;RadA-3_TAL_6-2_S21;radA-6-2-X5_S21;RadA-3;TAL-1;S21;RadA-3_TAL-1_S21;RadA-3_TAL-1
radA-6-2-X8_S20.R1.fastq.gz;radA-6-2-X8_S20.R2.fastq.gz;RadA-3_TAL_6-2_S20.R1.fastq.gz;RadA-3_TAL_6-2_S20.R2.fastq.gz;NGS313;RadA-3_TAL_6-2_S20;radA-6-2-X8_S20;RadA-3;TAL-1;S20;RadA-3_TAL-1_S20;RadA-3_TAL-1
radA-UP-3E3_S19.R1.fastq.gz;radA-UP-3E3_S19.R2.fastq.gz;RadA-3_TAL_UP_S19.R1.fastq.gz;RadA-3_TAL_UP_S19.R2.fastq.gz;NGS313;RadA-3_TAL_UP_S19;radA-UP-3E3_S19;RadA-3;TAL-2;S19;RadA-3_TAL-2_S19;RadA-3_TAL-2
radA-UP-3E4_S18.R1.fastq.gz;radA-UP-3E4_S18.R2.fastq.gz;RadA-3_TAL_UP_S18.R1.fastq.gz;RadA-3_TAL_UP_S18.R2.fastq.gz;NGS313;RadA-3_TAL_UP_S18;radA-UP-3E4_S18;RadA-3;TAL-2;S18;RadA-3_TAL-2_S18;RadA-3_TAL-2
radA-UP-3F4_S17.R1.fastq.gz;radA-UP-3F4_S17.R2.fastq.gz;RadA-3_TAL_UP_S17.R1.fastq.gz;RadA-3_TAL_UP_S17.R2.fastq.gz;NGS313;RadA-3_TAL_UP_S17;radA-UP-3F4_S17;RadA-3;TAL-2;S17;RadA-3_TAL-2_S17;RadA-3_TAL-2
radA-6-2-A3_S22.R1.fastq.gz;radA-6-2-A3_S22.R2.fastq.gz;RadA-3_TAL_UP_BAD_S22.R1.fastq.gz;RadA-3_TAL_UP_BAD_S22.R2.fastq.gz;NGS313;RadA-3_TAL_UP_BAD_S22;radA-6-2-A3_S22;RadA-3;TAL-2-BAD;S22;RadA-3_TAL-2-BAD_S22;RadA-3_TAL-2-BAD
Sloan_recA3_SRR11025142_rep3.R1.fastq.gz;Sloan_recA3_SRR11025142_rep3.R2.fastq.gz;recA3_Col-0_Sloan.R1.fastq.gz;recA3_Col-0_Sloan.R2.fastq.gz;Sloan_MSH1_PNAS2020;recA3_Col-0_Sloan;Sloan_recA3_SRR11025142_rep3;recA3;no-TAL;Sloan;recA3_no-TAL_Sloan;recA3_no-TAL
Sloan_recA3_SRR11025143_rep2.R1.fastq.gz;Sloan_recA3_SRR11025143_rep2.R2.fastq.gz;recA3_Col-0_Sloan.R1.fastq.gz;recA3_Col-0_Sloan.R2.fastq.gz;Sloan_MSH1_PNAS2020;recA3_Col-0_Sloan;Sloan_recA3_SRR11025143_rep2;recA3;no-TAL;Sloan;recA3_no-TAL_Sloan;recA3_no-TAL
Sloan_recA3_SRR11025144_rep1.R1.fastq.gz;Sloan_recA3_SRR11025144_rep1.R2.fastq.gz;recA3_Col-0_Sloan.R1.fastq.gz;recA3_Col-0_Sloan.R2.fastq.gz;Sloan_MSH1_PNAS2020;recA3_Col-0_Sloan;Sloan_recA3_SRR11025144_rep1;recA3;no-TAL;Sloan;recA3_no-TAL_Sloan;recA3_no-TAL
NGS257-1D4_S30.R1.fastq.gz;NGS257-1D4_S30.R2.fastq.gz;recA3-2_Col-0_S30.R1.fastq.gz;recA3-2_Col-0_S30.R2.fastq.gz;NGS257;recA3-2_Col-0_S30;NGS257-1D4_S30;recA3-2;no-TAL;S30;recA3-2_no-TAL_S30;recA3-2_no-TAL
NGS257-1D9_S31.R1.fastq.gz;NGS257-1D9_S31.R2.fastq.gz;recA3-2_Col-0_S32.R1.fastq.gz;recA3-2_Col-0_S32.R2.fastq.gz;NGS257;recA3-2_Col-0_S32;NGS257-1D9_S31;recA3-2;no-TAL;S32;recA3-2_no-TAL_S32;recA3-2_no-TAL
NGS354_RecA3-2_BM1_NA_D1_S6.R1.fastq.gz;NGS354_RecA3-2_BM1_NA_D1_S6.R2.fastq.gz;recA3-2_Col-0_S6.R1.fastq.gz;recA3-2_Col-0_S6.R2.fastq.gz;NGS354;recA3-2_Col-0_S6;RecA3-2_S6;recA3-2;no-TAL;S6;recA3-2_no-TAL_S6;recA3-2_no-TAL
recA3-6-2-3H1_S30.R1.fastq.gz;recA3-6-2-3H1_S30.R2.fastq.gz;recA3-2_Col-0_S30-3H1.R1.fastq.gz;recA3-2_Col-0_S30-3H1.R2.fastq.gz;NGS313;recA3-2_Col-0_S30-3H1;recA3-6-2-3H1_S30;recA3-2;no-TAL;S30-3H1;recA3-2_no-TAL_S30-3H1;recA3-2_no-TAL
recA3-6-2-3H5-_S29.R1.fastq.gz;recA3-6-2-3H5-_S29.R2.fastq.gz;recA3-2_Col-0_S29.R1.fastq.gz;recA3-2_Col-0_S29.R2.fastq.gz;NGS313;recA3-2_Col-0_S29;recA3-6-2-3H5-_S29;recA3-2;no-TAL;S29;recA3-2_no-TAL_S29;recA3-2_no-TAL
recA3-6-2-3H6_S28.R1.fastq.gz;recA3-6-2-3H6_S28.R2.fastq.gz;recA3-2_Col-0_S28.R1.fastq.gz;recA3-2_Col-0_S28.R2.fastq.gz;NGS313;recA3-2_Col-0_S28;recA3-6-2-3H6_S28;recA3-2;no-TAL;S28;recA3-2_no-TAL_S28;recA3-2_no-TAL
recA3-6-2-3H9_S27.R1.fastq.gz;recA3-6-2-3H9_S27.R2.fastq.gz;recA3-2_Col-0_S27.R1.fastq.gz;recA3-2_Col-0_S27.R2.fastq.gz;NGS313;recA3-2_Col-0_S27;recA3-6-2-3H9_S27;recA3-2;no-TAL;S27;recA3-2_no-TAL_S27;recA3-2_no-TAL
recA3-6-2-REUP1_S26.R1.fastq.gz;recA3-6-2-REUP1_S26.R2.fastq.gz;recA3-2_Col-0_S26.R1.fastq.gz;recA3-2_Col-0_S26.R2.fastq.gz;NGS313;recA3-2_Col-0_S26;recA3-6-2-REUP1_S26;recA3-2;no-TAL;S26;recA3-2_no-TAL_S26;recA3-2_no-TAL
recA3-6-2-REUP2_S25.R1.fastq.gz;recA3-6-2-REUP2_S25.R2.fastq.gz;recA3-2_Col-0_S25.R1.fastq.gz;recA3-2_Col-0_S25.R2.fastq.gz;NGS313;recA3-2_Col-0_S25;recA3-6-2-REUP2_S25;recA3-2;no-TAL;S25;recA3-2_no-TAL_S25;recA3-2_no-TAL
recA3-UP-3G10_S23.R1.fastq.gz;recA3-UP-3G10_S23.R2.fastq.gz;recA3-2_Col-0_S23.R1.fastq.gz;recA3-2_Col-0_S23.R2.fastq.gz;NGS313;recA3-2_Col-0_S23;recA3-UP-3G10_S23;recA3-2;no-TAL;S23;recA3-2_no-TAL_S23;recA3-2_no-TAL
